"","targetRisk","targetReturn"
"1",0.0534610332858385,0.00965907670634199
"2",0.0310439821936058,0.0100644223890047
"3",0.029603881041662,0.0104697682155988
"4",0.0289398921812715,0.0108751140421929
"5",0.0286419167885441,0.0112804598687871
"6",0.0283927920639807,0.0116858056953812
"7",0.0281938129926283,0.0120911515219754
"8",0.0280540440298094,0.0124964973485695
"9",0.0280257735564238,0.0129018431751636
"10",0.0281236787434595,0.0133071890017578
"11",0.02839532315109,0.0137125348283519
"12",0.0287862498160666,0.014117880654946
"13",0.0292711074385853,0.0145232264815402
"14",0.0298453184516341,0.0149285723081343
"15",0.0305038372482503,0.0153339181347284
"16",0.0312413330516812,0.0157392639613226
"17",0.0320523547561555,0.0161446097879167
"18",0.0329314705194417,0.0165499556145109
"19",0.0338733790213098,0.016955301441105
"20",0.0348729925968479,0.0173606472676991
"21",0.0359254947020684,0.0177659930942933
"22",0.0370263754249173,0.0181713389208874
"23",0.038171449215553,0.0185766847474815
"24",0.0393568589182902,0.0189820305740757
"25",0.0405790697675896,0.0193873764006698
"26",0.041834856436728,0.0197927222272639
"27",0.0431212856203341,0.0201980680538581
"28",0.0444356960630668,0.0206034138804522
"29",0.0457756774527491,0.0210087597070464
"30",0.0471390491895735,0.0214141055336405
"31",0.048523839721584,0.0218194513602346
"32",0.0499282668910605,0.0222247971868288
"33",0.0513507195543938,0.0226301430134229
"34",0.0527897406069879,0.023035488840017
"35",0.0542440114532672,0.0234408346666112
"36",0.0557123379003371,0.0238461804932053
"37",0.0571936374144059,0.0242515263197995
"38",0.0586869276555671,0.0246568721463936
"39",0.0601926810098564,0.0250622179729877
"40",0.0617548401616887,0.0254675637995819
"41",0.0634062242533759,0.025872909626176
"42",0.0651401058783511,0.0262782554527701
"43",0.0669500757483956,0.0266836012793643
"44",0.0688301316335276,0.0270889471059584
"45",0.070774688468133,0.0274942929325525
"46",0.0727785762703113,0.0278996387591467
"47",0.0748370291313431,0.0283049845857408
"48",0.0769456679974719,0.028710330412335
"49",0.079100479436275,0.0291156762389291
"50",0.0812977896891686,0.0295210216256257
